OrganizationIdentifier,OrganizationFormalName,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentTest,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/28/2015,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.71,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/2/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/9/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/16/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/23/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/30/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.21,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/6/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/13/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/20/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/27/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/4/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/11/2016,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
